Containers that do not have trackings,,,,
container_id,shipping_company,bill_of_lading,created_at,vizion_reference_id
YVN61774204,YVN6,YVN61774204,2021-10-01 21:07:12 UTC,
YVN61795915,YVN6,YVN61795915,2021-10-01 21:07:12 UTC,
------------ Containers with No Milestones -----------,,,,
MAGU5674920,,TOR210903201,2021-09-23 14:00:05 UTC,b461a298-2622-464b-b7a1-7bb9053e284c
SMCU1108562,HDMU,HDMUSELM13156400,2021-08-24 14:00:04 UTC,5c8edb76-0877-4557-9f82-4f9267ffb410
SMCU1140137,HDMU,HDMUSELM13156400,2021-08-24 14:00:04 UTC,ef86737a-34f7-44fc-9f05-5a479d8ddc9e
GAOU6016514,HDMU,HDMUSELM13156400,2021-08-24 14:00:04 UTC,dd87277a-c17a-4939-817c-efde851f9fa1
SMCU1103494,HDMU,HDMUSELM13156400,2021-08-24 14:00:04 UTC,267ea8e8-5c65-4139-9e8f-9eb79cb09f51
TCNU4758967,YMLU,YMLUW425910643,2021-08-24 14:00:04 UTC,fd3ad449-cb6e-484f-a250-c793cf6b7bbb
KOCU4668144,,GCNLCLAX10967630,2021-09-16 00:30:14 UTC,1fb436fb-9d39-4d78-8a74-54e5da175e80
FSCU8672401,,SHALAX18301X,2021-08-24 14:00:05 UTC,ba09c000-c983-43b7-aac6-7ece1b0c73ce
CAAU5048665,,WHLU100BA02330,2021-09-03 21:00:04 UTC,6db2516f-b683-4a81-bc60-6b5e959c8a22
TCKU7311221,,WHLU040BX05752,2021-09-03 21:00:04 UTC,59e8813e-16ad-485c-a33a-ed9654105789
BMOU1468240,,UCMICMX56386,2021-08-25 14:00:05 UTC,13c17780-0fca-44d8-9d38-37cfe27eca69
MRSU4097678,,SHLAX210705501,2021-08-25 14:00:05 UTC,e38fcff6-bbb1-463a-8d4d-ad53ca182cd0
DRYU9607976,,SEL1H2520500,2021-09-03 21:00:04 UTC,18253e0e-b5c6-467c-baab-bbc823e36f42
WHSU5822212,,040BX06150,2021-09-03 21:00:04 UTC,221393ec-2f4d-4402-8bf3-159dba94b319
BEAU4527297,YMLU,YMLUW490402570,2021-09-03 21:00:04 UTC,eaf62278-fe45-418a-afc9-7746aa368dce
CAIU4452715,,SMLMSHEG1A516600,2021-09-03 21:00:04 UTC,11e24b59-2dbb-4271-be7c-7c6988d816d8
WHSU6041493,,040BX06433,2021-09-03 21:00:05 UTC,223476ab-8615-4fbb-8387-42906d29d1c2
ZCSU7961838,,AYLSA210717682,2021-08-26 14:00:05 UTC,486ade59-fe6f-40b9-a60a-2c1a1fa8b389
OOCU6919285,,2676335170,2021-08-25 21:00:05 UTC,674fb59f-866e-41a3-a243-bd0cef707b3b
WHSU5275141,,NJLH060412770,2021-08-27 21:00:05 UTC,22e3462c-9062-4c8b-bfb7-81505332697f
OOCU7366271,,ITIKH2108049/8051,2021-08-27 21:00:05 UTC,dfde86ac-6a91-4482-8ea6-d3bbacd9a860
OOLU8350764,,ITIKH2108049/8051,2021-08-27 21:00:05 UTC,5ba4c020-f087-474c-b217-1b444e1d7322
MATU2678590,,SHA21080247C,2021-09-16 00:30:14 UTC,5ea02e35-d559-4f89-9482-1504865213ea
TEMU6002027,,ITIKH2108049/8051,2021-08-27 21:00:05 UTC,16076e93-fb4d-49b5-931b-4bef3b0e6132
EITU9226820,,SHTOR210809501,2021-09-16 00:30:14 UTC,de7a1d8b-591d-459a-aad8-5ff6facaceeb
KOCU2144404,,NLJSO 2108099-00,2021-08-31 21:00:05 UTC,8f72781d-db46-49ee-ab9c-0b4be4dffec4
KOCU4266119,,NLJSO 2108136-00,2021-08-31 21:00:05 UTC,a37bf674-ce93-4986-856d-0fa6b3f7fcf6
WHSU6267161,,KCHPH2107099,2021-09-03 21:00:05 UTC,8345b212-2b6d-41f3-911b-8a504d949de6
WHSU5731508,,040BA08171,2021-09-03 21:00:05 UTC,d056c143-698b-4a3d-8035-25fafbb39e63
WHSU5266509,,040BA08254,2021-09-03 21:00:05 UTC,e68d398c-17ca-45b2-9efb-cbc3228f7f16
WHSU6144172,,WHLC040BX06051,2021-09-03 21:00:05 UTC,3c5e2dc1-3b28-442f-912f-ab1cc043aa04
TGBU5999830,,CSRU21080281,2021-09-03 14:00:04 UTC,52352eb9-bc45-40a9-af4f-f76af83af9b4
CAIU4271487,,NJLH060412769,2021-09-03 14:00:05 UTC,2723ce6c-e5a4-493e-a235-a303e04e783f
TEMU8541990,,DFS030036239,2021-09-03 14:00:05 UTC,bad5c6f6-b87d-4da0-bcc5-ed2da4446936
TGBU6990478,,DFS030036258,2021-09-03 14:00:05 UTC,c0d6d183-d588-40cf-a509-7b1182fdc288
TRIU8024336,,MATS9060000000,2021-09-03 21:00:05 UTC,586e2e35-3cbc-45a0-8c40-00daf518d479
WHSU6054335,,WHLC100BX16531,2021-09-03 21:00:05 UTC,8688c4a5-c3b7-41c5-b445-ab15da949aaa
CMXA21080013,,CMXA21080013,2021-09-03 21:00:05 UTC,48577f21-358c-461b-bbbf-fdd485b4865c
FSCU8501862,,MATS8603795002,2021-09-03 21:00:05 UTC,814a2cef-647b-4757-a167-ffb0352aa9fe
SMLU7979069,,SMLU6725099A,2021-08-28 14:00:05 UTC,26ebd303-083b-47b1-ad16-bc6e5a37c9a2
WHLU5803536,,BHP210802998,2021-08-31 21:00:05 UTC,8baa3db9-513a-4010-a1e8-c093743584a4
FCIU7082654,,00LU2677436560,2021-09-16 00:30:14 UTC,d526302a-befa-433e-81f2-291550087be2
KOCU5168903,,PN1M32943200,2021-09-24 14:00:03 UTC,d61c78c9-1295-4630-9ce8-b16bd433bef2
TXGU5853730,,DFS030036245,2021-09-03 14:00:05 UTC,c13d57c3-f86a-4294-a173-45cbc4bb2772
TCKU6762236,,WHLC100BX18647,2021-09-03 21:00:05 UTC,e70aca54-174d-42f8-9f6b-16ca0e333c19
OOLU9194650,,NJLH060412572,2021-08-23 22:12:26 UTC,d6ea9582-e2af-4960-a9a2-5f719c77e475
CAAU5049471,,WHLC100BX18647,2021-09-03 21:00:05 UTC,3ee1528f-aa17-4966-aaa9-c73de98b97e9
MATU2729450,,LYSE21090086A,2021-09-03 21:00:05 UTC,09fefeba-45c2-493d-9150-e842d7cb2bec
MATU2672139,,LYSE21090087,2021-09-03 21:00:05 UTC,9c8389c8-55f0-43fd-9443-e71421476409
MATU4634077,,MATS5509431000,2021-09-03 21:00:05 UTC,4a2492c7-ecb7-4859-866c-f4c5b9b3d66b
SMCU1131109,,SHLGB210800201,2021-09-03 21:00:05 UTC,937a130f-8b57-4bd7-bfea-3d323ac6f518
TRHU4311397,,SAA210900865,2021-09-08 21:00:05 UTC,7ffa62c3-5791-4338-a109-a276166ab36c
SMCU7014012,,SHLAX210810201,2021-09-08 21:00:05 UTC,8fd45c08-21c5-4a88-833c-201fe3bbaca5
OOCU8744946,,AYLSA210817789,2021-09-08 14:00:05 UTC,f63eefe6-2b0b-468f-8aae-a701cd493499
TCNU6756990,,AYLSA210817867,2021-09-08 14:00:05 UTC,838d3310-5c8e-45cf-a91a-eb7735f86160
NLLU4157663,,PFSL21091085,2021-09-08 14:00:05 UTC,8a7a1189-3869-4771-a632-6ee1ef7c90a5
FDCU0308035,,UICJKTO2109000083/84,2021-09-20 21:00:05 UTC,e5e32aa6-20e9-46d5-a3ee-566db454203d
CCLU2974449,,PFSL21091147,2021-09-20 21:00:05 UTC,ea9bd106-600d-4f48-b273-4f80abc35a78
TEMU6220116,,CSRU21080281,2021-09-03 14:00:04 UTC,db4981fe-a1f7-4954-9f3c-86926ca6f356
WHSU6218531,,JGNJ21080419,2021-09-03 14:00:05 UTC,3141fd58-d22f-4c6a-8882-ef74ea6c1dfc
MATU4624166,,AYLGB210817880,2021-09-03 14:00:05 UTC,9f57c206-d042-439c-aafc-f55a87d16640
SMLU7882464,,SMLU6754225A,2021-09-17 21:00:04 UTC,7b354b32-74e1-460c-bbcd-fea7dbd11215
TGBU6108317,,DFS030036239,2021-09-03 14:00:05 UTC,a1c98b53-7273-459c-97bf-3b8a6de374f9
NLLU4114635,,OOLU2670294590,2021-09-03 21:00:03 UTC,b7641974-6c50-4495-90f5-ac66de78a76b
EGHU9314197,,DFS030036258,2021-09-03 14:00:05 UTC,43ece529-bad8-49f9-b258-72156598ba7a
TXGU5841636,,DFS030036245,2021-09-03 14:00:05 UTC,f0528c84-9053-44a1-aa66-5b5747e17ae1
MRSU4492688,HDMU,HDMUSELM24373201,2021-09-03 21:00:04 UTC,5d33d962-d178-4dd7-b195-f3bf9b11d058
RFCU4100045,,IDJKT0000033810,2021-09-03 21:00:04 UTC,06d61842-7836-4d9a-857b-e5b81930d168
TLLU4013316,EGLV,EGLV 142103412842,2021-09-08 21:00:05 UTC,d5501f8b-03c0-4d71-98f4-cb967e7f251a
FCLU9605614,,LYSE21090084,2021-09-16 00:30:14 UTC,b193ac84-47fd-4f91-a984-ae8eb3127d10
DRYU9664908,,TSW02S001417,2021-09-16 00:30:14 UTC,4bcd0790-52c7-4bbe-b297-f617b2b4bff9
WHSU6470097,,HCLGBSL90233,2021-09-17 21:00:05 UTC,aa37b10a-793f-4fec-8b51-96c38179dbb5
MATU2753478,,MATS1015614000/8000,2021-09-17 14:00:05 UTC,4a92b3c0-d40d-4dab-b3db-75ff0f08ed7e
MATU4546130,,SESHA2109003,2021-09-17 14:00:05 UTC,e1c2bbc7-bf0e-4d01-b231-27a56324f0db
CBHU9072615,,CMWV211336,2021-09-17 14:00:05 UTC,58b9fcb3-7c5e-4fea-965c-274b73d00dac
BMOU5792962,,LYSE21090172,2021-09-17 14:00:05 UTC,79040685-61df-4100-bc91-4fe06aa1079f
YMLU8742951,HDMU,HDMUSELM90794100,2021-09-03 21:00:04 UTC,203a7b3f-aa33-4d8d-968a-79740a43f560
GCXU5357837,,WHLC120BA04861,2021-09-03 21:00:04 UTC,f604ce78-0e4e-4195-8b72-1274ece983df
FBLU0103423,,WHLC040BX05972,2021-09-03 21:00:04 UTC,a6c29105-d1cd-4111-859e-a775f54688bc
MATU2703219,,SESHA2109002,2021-09-08 21:00:05 UTC,e42e5ada-f65b-4354-9a5a-24198fae28a8
EGSU9100455,,UICJKTO2109000083/84,2021-09-20 21:00:05 UTC,7f9f61fb-0ee8-49be-ad5c-f4712e93c8d6
GESU9208140,,UCMICMX56442,2021-09-20 21:00:05 UTC,608e72d3-475e-47d8-aa91-3d31020fb9e8
FBLU0029286,,LGB2109010,2021-09-20 21:00:05 UTC,7b6d196c-d958-43f4-8476-73698df2d1cb
FFAU2707788,COSU,COSU6309241430,2021-09-03 21:00:04 UTC,c603b1d4-7edc-4c8f-86ed-ac7d574ac95d
WHSU5881410,,WHLC040BX06146,2021-09-03 21:00:05 UTC,b5de377d-8066-4ce6-9027-7df5a4d526f8
WHSU5136850,,VLAX210797,2021-09-03 21:00:05 UTC,998a2f41-eb0e-4b9d-835b-c0db6f0961a8
WHSU6462949,,040BX06935,2021-09-03 21:00:05 UTC,98d13e1e-2731-417b-bbf7-dda1e4384056
WHLU5515150,,040BA08254,2021-09-03 21:00:05 UTC,93581002-61be-4f47-bed8-9615553d3663
MATU5517455,,MATS9060000000,2021-09-03 21:00:05 UTC,ce6ae059-df04-48b4-8065-723185fd3bf8
ZCSU8949950,,CTOR10867565,2021-09-22 14:00:05 UTC,a04a9dc0-ea3f-43e4-863a-9ebf236aa9bd
BMOU3161079,,TOR210903201,2021-09-22 14:00:05 UTC,050135bf-6e4e-46c3-bd57-a8cb45fe2987
YMMU6142930,,TOR210903201,2021-09-22 14:00:05 UTC,2870a815-ad7f-451f-bebb-b63e69393313
SEGU6453770,,TOR210903201,2021-09-22 14:00:05 UTC,1e7cb1b1-41d2-4b1b-b22d-450f05f69253
CAIU4271888,,TOR210903201,2021-09-22 14:00:05 UTC,082a0fad-acb6-4a7b-8ac1-3e325c81a9db
JXLU6751204,,AYLSA210717690,2021-09-03 21:00:05 UTC,0c0c00f6-ebb2-498c-9d1b-c390235fac00
SLHU4500038,OOLU,OOLU2669839560,2021-07-27 00:06:43 UTC,ef0b6f5c-257b-43d7-a7da-00d4203efe53
OOCU6953192,OOLU,OOLU2674083570,2021-08-17 21:00:04 UTC,0f16233f-2c98-4ee9-bdfb-356d278e9325
OOCU6408080,OOLU,OOLU2674083570,2021-08-17 21:00:04 UTC,89c14897-22f8-4f55-b4ab-3d854060de3e
ZCSU8775170,ZIMU,ZIMUZAP907982,2021-08-17 21:00:05 UTC,51074ae5-bad9-4f99-8f8b-a7b8355f8edd
TCNU2435728,,W360882705,2021-09-24 21:00:04 UTC,a16eb6f6-3103-4c35-8b9c-583105e6b84d
CAIU6417040,,SHLGB210808701,2021-09-24 21:00:05 UTC,acd4be8d-2797-4e9d-916a-906d42bb763d
MAGU5407550,,AYLSA210917949,2021-09-24 21:00:05 UTC,62485c80-7631-469c-9d78-1ba6cb7f04a3
TGBU5058124,EGLV,EGLV080100474991,2021-08-17 14:00:05 UTC,485b891f-caef-4084-b24a-ef2f2a9b8728
TEMU8427247,,7803479915,2021-09-30 21:00:04 UTC,9c18d272-95e3-430e-ac81-7064f8caf87f
VOLU2160949,,SHLAX210900701,2021-09-01 14:00:05 UTC,c368d81b-4120-488b-982f-5c9fc3440175
TCNU4245331,,CTOR10867565,2021-09-01 14:00:05 UTC,666a28eb-48a0-43d4-b014-660b7ec98673
FCIU8989059,,CTOR10867565,2021-09-01 14:00:05 UTC,8c7203d3-21bf-40e8-8823-c5abe12ccbff
MEDU8214450,,SHLGB210904901,2021-09-30 21:00:04 UTC,19a0d7cb-ee69-48b8-b499-79bacae3cfe3
TEMU8568081,,SHLGB21094801,2021-09-30 21:00:04 UTC,6decc23f-64fa-4c12-9e32-58c9d25caa7a
FFAU2994934,,SHLGB21094801,2021-09-30 21:00:04 UTC,0b733072-0193-4662-aaad-e09b51527b38
MATU4570630,,MATS1015614000/8000,2021-09-17 14:00:05 UTC,43188832-ee11-4cf9-a8ff-ff26dedda21a
SLHU4500125,,DAC4105971,2021-09-17 14:00:05 UTC,f35e359e-7c2a-4348-a0fd-364a8f77a86e
WHSU5676756,,BHP210802719,2021-09-02 14:00:04 UTC,32c48029-8d45-481b-8e33-8c401120feb6
BMOU5565589,YMLU,YMLUW425910533,2021-08-23 22:12:26 UTC,43902383-9465-417f-b482-f08da0ed4238
WHSU6285720,,NJLH060412795,2021-08-26 21:00:05 UTC,ab1a4730-1a98-4ead-aae2-ffb7ec2cdbe3
SEGU6849416,HDMU,HDMUSELM13156400,2021-08-07 21:00:04 UTC,98a0249c-6b66-49ff-a35d-f38986abbc4b
WHSU5479187,,NJLH060412830,2021-09-23 21:00:06 UTC,56a0f035-7d7b-4c81-899f-64db53cc2c73
TRHU4468149,,CMWV211350,2021-09-23 21:00:06 UTC,913f8748-3111-470b-9906-861a6b85baba
MSMU5135662,,AYLSA210717691,2021-09-02 21:00:05 UTC,df59ddc5-3d67-42aa-95ce-6ba73d553f5c
EGSU9124061,,AYLSA210917945,2021-09-23 21:00:06 UTC,bd4eca58-7a9f-4ab3-81d7-9fec9f695922
WHSU5294460,,NJLH060412796,2021-09-02 21:00:05 UTC,0793c56b-4aac-4731-a915-9d477c633a1b
SMLU7990134,,SMLU6747939A,2021-09-02 21:00:05 UTC,2bf4756f-6f26-4136-b43f-9b9cb609836d
SMCU1282893,,SHLAX210903101,2021-09-23 21:00:04 UTC,4a7cf2b8-6f2b-4acc-85b3-b1cd57bfc646
DFSU2236730,,SHLAX210903101,2021-09-23 21:00:04 UTC,cb6ad262-93e5-4141-967a-b1f79d532ff0
MATU4583010,,AYLSA210817860,2021-09-28 21:00:05 UTC,683a0b99-ebc5-4e52-8c67-642e533ed436
MATU4603097,,AYLSA210817860,2021-09-28 21:00:05 UTC,1b796681-ffb4-41be-b218-1a5a756145d5
DFSU7620100,,040BX08588,2021-09-29 14:00:05 UTC,220dc28f-e7fd-48b8-9bf1-c473153e6bee
DRYU9137070,,SEL1H2520500,2021-08-23 22:12:26 UTC,2d1a28b6-c31c-4f59-8e26-a44c74d0a261
CAIU7700707,YMLU,YMLUW236597246,2021-08-23 22:12:26 UTC,f8edf648-5549-4b4c-8164-539749ff01ad
NLLU4114126,,PFSL21070962,2021-08-23 22:12:26 UTC,0d3f8c87-09ee-4a33-bce8-7d833d529e37
SEGU4337940,YMLU,YMLUW425910629,2021-08-23 22:12:26 UTC,bf7231fb-d22b-4699-b459-49bc914c47e3
TRIU9106090,,SFLPKL2107601,2021-08-23 22:12:26 UTC,d5402dd8-c566-4dda-ad61-1b99d18f67ae
EITU1688545,,ELVG080100475009,2021-08-23 22:12:26 UTC,918555d7-9e78-4332-9af4-5757047a1de4
HMCU9010099,,ELVG080100475009,2021-08-23 22:12:26 UTC,c36f9bbc-b68d-4927-bf29-7ecdf1824c11
FCIU8043523,,SHGK1A717600,2021-08-23 22:12:26 UTC,99575383-b8e6-42a0-beb6-0d1cf5250a38
CAIU6806356,,WWLLWLC10805750E,2021-08-23 22:12:26 UTC,9154106b-ec23-4ea5-8b42-b2df7f5a446e
DFSU7434846,,BPNH21080022,2021-08-23 22:12:26 UTC,2507f06b-b351-4086-80bc-41cc3dffb6dd
SKHU9310103,,NLJSO 2108097-00,2021-08-23 22:12:26 UTC,26e0f143-1170-4a64-b9a9-459c02b03c98
GESU6737495,,NLJSO 2108097-00,2021-08-23 22:12:26 UTC,d0c94445-2aa3-4668-ad9d-97a602fc6721
SKHU8933897,,NLJSO 2108097-00,2021-08-23 22:12:26 UTC,52bc9707-97b6-4379-9d1f-c05868cfa53c
ZCSU7308736,,OPWT21-0430,2021-09-16 14:00:04 UTC,03072e4f-78b9-4752-b9d3-f0c3110e8199
CAIU4336438,,OPWT21-0430,2021-09-16 14:00:04 UTC,3fdd51fe-4bfe-487a-8d67-e6ffeae02763
GAOU6045615,,OPWT21-0429,2021-09-16 14:00:04 UTC,dda91eaf-7dda-4b12-b8f9-a247e2f3a284
ZCSU8588760,,OPWT21-0429,2021-09-16 14:00:04 UTC,06724c98-f134-4130-8073-c412385c3b6f
MAGU5673462,YMLU,YMLUW425910533,2021-08-23 22:12:26 UTC,3dc4e7a1-b48b-4ed2-bf0f-20f86145d9f1
WHSU5347489,,WHLC040BX06135,2021-08-23 22:12:26 UTC,6a119ba9-1273-4682-8079-ff7e715e6c65
MAGU5548250,YMLU,YMLUW236597246,2021-08-23 22:12:26 UTC,a1e8f2ac-df02-4c40-8c26-45103b7be7ca
FFAU1009427,YMLU,YMLUW490402570,2021-08-23 22:12:26 UTC,a91934b8-4d5e-49f3-bdee-1e75ceeb4558
EGHU3413058,,CPWSIN-2107500,2021-08-23 22:12:26 UTC,cc27f84b-0cbd-4cd8-aaed-033dcfbf516a
FFAU1255225,YMLU,YMLUW425910629,2021-08-23 22:12:26 UTC,62aa1683-85dd-4716-8df2-f21eb911667d
BMOU5112330,,ELVG080100475009,2021-08-23 22:12:26 UTC,3e07d22b-1a8c-4414-af2d-0650dcee1d63
CAIU4566169,,GCNLCLAX10867400,2021-08-23 22:12:26 UTC,9532596a-8b85-431c-aa00-c5a034f73177
HMMU6298973,,GCNLCLAX10867400,2021-08-23 22:12:26 UTC,c02d8232-0779-4280-8e21-f52029c887da
BMSU2001430,,61C0102460,2021-09-09 14:00:05 UTC,8978c664-8308-43b0-8c79-30da3ea3149f
SLHU4500167,,PFSL21081051,2021-09-21 14:00:04 UTC,884ddbc4-b24f-4046-ba65-001a7cc3c22e
TGHU6989859,,UCMICMX56402,2021-09-16 21:00:05 UTC,0e141b25-9523-4405-99e5-02708e8b1d12
CSNU74991186,,UCMICMX56401,2021-09-16 21:00:05 UTC,0a9d445c-339b-42cc-a134-54618cde9261
SMCU1211816,,SHLGB210810101,2021-09-27 21:00:05 UTC,132f931c-0431-4562-a28e-018c009e1311
CRSU0401972,,AYLSA210917951,2021-09-29 14:00:05 UTC,d9483e8c-6e50-4d41-beaa-16199d4c247c
------------ Containers with No Tracking References -----------,,,,