Shipment Number,Container #,Bill Of Lading,,
0007450,CMAU5234855,CMDUCFA0422622,0007450-CMAU5234855,#N/A
0007450,TCLU5847568,CMDUCFA0422622,0007450-TCLU5847568,#N/A
0007501,SEGU6093421,CMDUCFA0423976,0007501-SEGU6093421,#N/A
0007501,TCNU2664600,CMDUCFA0423976,0007501-TCNU2664600,#N/A
0007589,CBHU9161733,COSU6304334090,0007589-CBHU9161733,Y
0007589,DFSU7383311,COSU6304334090,0007589-DFSU7383311,Y
0007589,DFSU7464650,COSU6304334090,0007589-DFSU7464650,#N/A
0007589,FSCU8814126,COSU6304334090,0007589-FSCU8814126,#N/A
0007589,SEGU4686032,COSU6304334090,0007589-SEGU4686032,Y
0007440,TCKU6188160,COSU6305139840,0007440-TCKU6188160,Y
0007440,TRLU7202269,COSU6305139840,0007440-TRLU7202269,Y
0007516,BEAU2044860,COSU6305654100,0007516-BEAU2044860,Y
0007516,CCLU1918887,COSU6305654100,0007516-CCLU1918887,#N/A
0007516,OOCU7443038,COSU6305654100,0007516-OOCU7443038,Y
0007593,CSNU6117709,COSU6305754130,0007593-CSNU6117709,Y
0007461,CCLU7672971,COSU6305953240,0007461-CCLU7672971,Y
0007461,CCLU7884667,COSU6305953240,0007461-CCLU7884667,Y
0007461,CCLU7971490,COSU6305953240,0007461-CCLU7971490,Y
0007461,FFAU3458664,COSU6305953240,0007461-FFAU3458664,Y
0007461,TLLU4486366,COSU6305953240,0007461-TLLU4486366,Y
0007434,CSNU6672701,COSU6306092050,0007434-CSNU6672701,Y
0007636,CCLU7771758,COSU6306451410,0007636-CCLU7771758,Y
0007636,FSCU8535820,COSU6306451410,0007636-FSCU8535820,Y
0007636,OOLU8302025,COSU6306451410,0007636-OOLU8302025,Y
0007570,CBHU6290980,COSU6306523190,0007570-CBHU6290980,Y
0007564,CCLU7975366,COSU6306660160,0007564-CCLU7975366,Y
0007564,DFSU7284047,COSU6306660160,0007564-DFSU7284047,Y
0007564,OOLU1245915,COSU6306660160,0007564-OOLU1245915,Y
0007470,OOCU7821056,COSU6306929170,0007470-OOCU7821056,Y
0007505,CAIU9428331,COSU6306929170,0007505-CAIU9428331,Y
0007505,CBHU5816262,COSU6306929170,0007505-CBHU5816262,Y
0007505,CSLU6182287,COSU6306929170,0007505-CSLU6182287,Y
0007504,CBHU9580581,COSU6306929270,0007504-CBHU9580581,Y
0007727,BEAU6239197,COSU6306941840,0007727-BEAU6239197,Y
0007727,CBHU9131549,COSU6306941840,0007727-CBHU9131549,Y
0007727,CSNU6247261,COSU6306941840,0007727-CSNU6247261,Y
0007542,TGBU8717333,COSU6307049430,0007542-TGBU8717333,Y
0007623,TEMU0096163,COSU6307181380,0007623-TEMU0096163,Y
0007656,CSNU7637011,COSU6307299930,0007656-CSNU7637011,Y
0007656,DFSU6317383,COSU6307299930,0007656-DFSU6317383,Y
0007656,OOLU8448663,COSU6307299930,0007656-OOLU8448663,Y
0007656,TCKU6183105,COSU6307299930,0007656-TCKU6183105,Y
0007541,CBHU8964284,COSU6307465200,0007541-CBHU8964284,Y
0007541,CBHU9418020,COSU6307465200,0007541-CBHU9418020,Y
0007620,CSNU1076762,COSU6307465550,0007620-CSNU1076762,Y
0007614,OOLU8616474,COSU6307635570,0007614-OOLU8616474,#N/A
0007615,OOLU8616474,COSU6307635570,0007615-OOLU8616474,#N/A
0007628,CSNU6400160,COSU6307635570,0007628-CSNU6400160,Y
0007628,FFAU2879231,COSU6307635570,0007628-FFAU2879231,Y
0007551,CCLU7167331,COSU6307881700,0007551-CCLU7167331,#N/A
0007551,TRHU4736473,COSU6307881700,0007551-TRHU4736473,#N/A
0007639,CSLU1532443,COSU6308021130,0007639-CSLU1532443,Y
0007699,FFAU1583965,COSU6308193230,0007699-FFAU1583965,Y
0007699,FFAU3273824,COSU6308193230,0007699-FFAU3273824,Y
0007699,OOLU7534812,COSU6308193230,0007699-OOLU7534812,Y
0007707,OOLU9802679,COSU6308306240,0007707-OOLU9802679,Y
0007732,CSNU7240127,COSU6308361750,0007732-CSNU7240127,Y
0007732,DFSU7347309,COSU6308361750,0007732-DFSU7347309,Y
0007776,CSLU6071241,COSU6308421400,0007776-CSLU6071241,Y
0007778,CBHU9109057,COSU6308421400,0007778-CBHU9109057,Y
0007778,CBHU9441919,COSU6308421400,0007778-CBHU9441919,Y
0007778,CSLU6071241,COSU6308421400,0007778-CSLU6071241,Y
0007778,FCIU7199445,COSU6308421400,0007778-FCIU7199445,Y
0007773,CCLU4360497,COSU6308512400,0007773-CCLU4360497,Y
0007773,OOLU7500010,COSU6308512400,0007773-OOLU7500010,Y
0007777,FFAU2707788,COSU6309241430,0007777-FFAU2707788,#N/A
0007777,OOCU8457756,COSU6309241430,0007777-OOCU8457756,Y
0007634,TGBU8751446,COSU6884764830,0007634-TGBU8751446,Y
0007635,CBHU8795754,COSU6884765030,0007635-CBHU8795754,Y
0007391,EITU1038684,EGLV080100303992,0007391-EITU1038684,#N/A
0007389,TCNU4502888,EGLV080100304018,0007389-TCNU4502888,#N/A
0007538,EGHU9785833,EGLV080100312002,0007538-EGHU9785833,Y
0007538,TRHU4766879,EGLV080100312002,0007538-TRHU4766879,Y
0007538,TRHU4937246,EGLV080100312002,0007538-TRHU4937246,Y
0007538,TRHU5109570,EGLV080100312002,0007538-TRHU5109570,Y
0007537,BMOU4470982,EGLV080100312011,0007537-BMOU4470982,Y
0007537,EISU9403840,EGLV080100312011,0007537-EISU9403840,Y
0007537,EITU1795332,EGLV080100312011,0007537-EITU1795332,Y
0007537,TGBU6892471,EGLV080100312011,0007537-TGBU6892471,Y
0007536,FCIU7063886,EGLV080100312029,0007536-FCIU7063886,Y
0007536,FCIU7513704,EGLV080100312029,0007536-FCIU7513704,Y
0007536,TCNU3671369,EGLV080100312029,0007536-TCNU3671369,Y
0007536,TGBU6934767,EGLV080100312029,0007536-TGBU6934767,Y
0007533,CAAU5346910,EGLV080100312037,0007533-CAAU5346910,Y
0007533,EGHU9828278,EGLV080100312037,0007533-EGHU9828278,Y
0007687,CAIU9790124,EGLV080100312053,0007687-CAIU9790124,#N/A
0007687,EGHU9270437,EGLV080100312053,0007687-EGHU9270437,Y
0007687,MAGU5298870,EGLV080100312053,0007687-MAGU5298870,Y
0007689,EITU1815995,EGLV080100312088,0007689-EITU1815995,Y
0007689,TCLU7983692,EGLV080100312088,0007689-TCLU7983692,Y
0007428,EGHU9675306,EGLV080100312274,0007428-EGHU9675306,Y
0007428,EITU1299625,EGLV080100312274,0007428-EITU1299625,Y
0007428,EITU1452349,EGLV080100312274,0007428-EITU1452349,Y
0007428,EITU9279409,EGLV080100312274,0007428-EITU9279409,Y
0007439,BEAU4454210,EGLV080100312282,0007439-BEAU4454210,Y
0007439,TEMU6408314,EGLV080100312282,0007439-TEMU6408314,Y
0007439,TLLU4097549,EGLV080100312282,0007439-TLLU4097549,Y
0007545,EGHU9689700,EGLV080100312291,0007545-EGHU9689700,Y
0007545,TGBU4030159,EGLV080100312291,0007545-TGBU4030159,Y
0007545,TRHU5239384,EGLV080100312291,0007545-TRHU5239384,Y
0007543,FSCU8139795,EGLV080100312304,0007543-FSCU8139795,Y
0007543,TRHU5681610,EGLV080100312304,0007543-TRHU5681610,Y
0007534,DRYU9425143,EGLV080100369004,0007534-DRYU9425143,Y
0007534,EITU9240541,EGLV080100369004,0007534-EITU9240541,Y
0007535,EGHU9055060,EGLV080100369063,0007535-EGHU9055060,Y
0007535,EGHU9345623,EGLV080100369063,0007535-EGHU9345623,Y
0007563,EITU1516891,EGLV080100369063,0007563-EITU1516891,Y
0007563,EITU9056771,EGLV080100369063,0007563-EITU9056771,Y
0007388,EITU1943722,EGLV080100369233,0007388-EITU1943722,Y
0007388,FCIU7522769,EGLV080100369233,0007388-FCIU7522769,Y
0007388,TCNU2120253,EGLV080100369233,0007388-TCNU2120253,Y
0007388,TGBU6939049,EGLV080100369233,0007388-TGBU6939049,Y
0007688,CAAU5420685,EGLV080100444413,0007688-CAAU5420685,Y
0007688,TEMU8539859,EGLV080100444413,0007688-TEMU8539859,Y
0007682,TEMU8690490,EGLV080100444421,0007682-TEMU8690490,Y
0007682,TEMU8914590,EGLV080100444421,0007682-TEMU8914590,Y
0007681,EITU9011078,EGLV080100444430,0007681-EITU9011078,Y
0007681,EITU9141404,EGLV080100444430,0007681-EITU9141404,Y
0007679,EITU1034610,EGLV080100444448,0007679-EITU1034610,Y
0007500,EISU8338376,EGLV082100149779,0007500-EISU8338376,Y
0007454,TEMU6634733,EGLV235101200809,0007454-TEMU6634733,#N/A
0007462,EISU8327073,EGLV235101455319,0007462-EISU8327073,#N/A
0007462,TGBU8038883,EGLV235101455319,0007462-TGBU8038883,#N/A
0007324,EMCU9717793,EGLV236100245769,0007324-EMCU9717793,#N/A
0007324,HMCU9004244,EGLV236100245769,0007324-HMCU9004244,#N/A
0007323,BMOU4860933,EGLV236100245777,0007323-BMOU4860933,#N/A
0007453,TCNU2859074,EGLV236100284675,0007453-TCNU2859074,Y
0007453,TCNU4573449,EGLV236100284675,0007453-TCNU4573449,Y
0007465,EGHU8249570,EGLV236100304251,0007465-EGHU8249570,Y
0007465,EGHU8259095,EGLV236100304251,0007465-EGHU8259095,Y
0007465,EITU1287671,EGLV236100304251,0007465-EITU1287671,Y
0007544,EITU1393499,EGLV236100348363,0007544-EITU1393499,Y
0007544,EITU1425554,EGLV236100348363,0007544-EITU1425554,Y
0007660,CAIU9970194,HDMUJKTM08567700,0007660-CAIU9970194,Y
0007660,GAOU6340626,HDMUJKTM08567700,0007660-GAOU6340626,Y
0007660,TCLU4999550,HDMUJKTM08567700,0007660-TCLU4999550,Y
0007466,CAIU9968345,HDMUJKTM39168700,0007466-CAIU9968345,Y
0007466,HMMU6010407,HDMUJKTM39168700,0007466-HMMU6010407,Y
0007466,SEGU5802374,HDMUJKTM39168700,0007466-SEGU5802374,Y
0007573,KOCU4193389,HDMUJKTM45496500,0007573-KOCU4193389,Y
0007573,KOCU4919070,HDMUJKTM45496500,0007573-KOCU4919070,Y
0007326,KOCU4727801,HDMUJKTM51641300,0007326-KOCU4727801,#N/A
0007330,BSIU9264228,HDMUJKTM62025300,0007330-BSIU9264228,#N/A
0007330,HMMU6243292,HDMUJKTM62025300,0007330-HMMU6243292,#N/A
0007330,KOCU4106907,HDMUJKTM62025300,0007330-KOCU4106907,#N/A
0007330,KOCU4209016,HDMUJKTM62025300,0007330-KOCU4209016,#N/A
0007576,BSIU9161111,HDMUJKTM66097400,0007576-BSIU9161111,Y
0007576,CAIU7667960,HDMUJKTM66097400,0007576-CAIU7667960,Y
0007390,HMMU6084523,HDMUJKTM69770400,0007390-HMMU6084523,Y
0007390,KOCU4118050,HDMUJKTM69770400,0007390-KOCU4118050,Y
0007390,KOCU4178194,HDMUJKTM69770400,0007390-KOCU4178194,Y
0007390,KOCU4318254,HDMUJKTM69770400,0007390-KOCU4318254,Y
0007390,KOCU4614169,HDMUJKTM69770400,0007390-KOCU4614169,Y
0007390,TCNU5067609,HDMUJKTM69770400,0007390-TCNU5067609,Y
0007325,CAIU7405595,HDMUJKTM74157100,0007325-CAIU7405595,#N/A
0007325,HMMU6008101,HDMUJKTM74157100,0007325-HMMU6008101,#N/A
0007325,HMMU6044428,HDMUJKTM74157100,0007325-HMMU6044428,#N/A
0007577,CAIU4564870,HDMUJKTM90490600,0007577-CAIU4564870,Y
0007577,CAIU7468931,HDMUJKTM90490600,0007577-CAIU7468931,Y
0007577,TCNU5069068,HDMUJKTM90490600,0007577-TCNU5069068,Y
0007577,TCNU7229890,HDMUJKTM90490600,0007577-TCNU7229890,Y
0007702,BSIU9211850,HDMUSELM13156400,0007702-BSIU9211850,Y
0007702,GAOU6205117,HDMUSELM13156400,0007702-GAOU6205117,#N/A
0007702,KOCU4006045,HDMUSELM13156400,0007702-KOCU4006045,#N/A
0007702,KOCU4675605,HDMUSELM13156400,0007702-KOCU4675605,#N/A
0007702,KOCU4756857,HDMUSELM13156400,0007702-KOCU4756857,#N/A
0007702,SEGU6849416,HDMUSELM13156400,0007702-SEGU6849416,#N/A
0007574,KOCU4477261,HDMUSELM24373200,0007574-KOCU4477261,Y
0007574,KOCU4566353,HDMUSELM24373200,0007574-KOCU4566353,#N/A
0007572,HMMU6448456,HDMUSELM24373201,0007572-HMMU6448456,Y
0007572,MRSU4492688,HDMUSELM24373201,0007572-MRSU4492688,#N/A
0007572,SMCU1192022,HDMUSELM24373201,0007572-SMCU1192022,#N/A
0007341,HLBU2194717,HLCUDA1210600215,0007341-HLBU2194717,#N/A
0007489,TCNU1488934,HLCUDA1210600332,0007489-TCNU1488934,#N/A
0007472,UACU5342430,HLCUDA1210600365,0007472-UACU5342430,#N/A
0007517,UACU5342430,HLCUDA1210600365,0007517-UACU5342430,#N/A
0007711,HAMU1269494,HLCUDA1210702007,0007711-HAMU1269494,#N/A
0007697,TCNU8326529,HLCUDA1210702018,0007697-TCNU8326529,#N/A
0007671,TCNU8925527,MEDUCP391013,0007671-TCNU8925527,Y
0007716,FFAU1245525,MEDUCP454993,0007716-FFAU1245525,Y
0007716,MSMU5139314,MEDUCP454993,0007716-MSMU5139314,Y
0007243,CXDU2162167,MEDUKA845230,0007243-CXDU2162167,Y
0007243,DFSU6679443,MEDUKA845230,0007243-DFSU6679443,Y
0007243,FFAU2714334,MEDUKA845230,0007243-FFAU2714334,Y
0007243,INKU2382856,MEDUKA845230,0007243-INKU2382856,Y
0007243,MSCU7160162,MEDUKA845230,0007243-MSCU7160162,Y
0007224,BEAU5923306,MEDUKA848374,0007224-BEAU5923306,Y
0007224,CAAU5822555,MEDUKA848374,0007224-CAAU5822555,Y
0007224,MEDU7674701,MEDUKA848374,0007224-MEDU7674701,Y
0007225,FDCU0058430,MEDUKA848374,0007225-FDCU0058430,Y
0007225,INKU6723523,MEDUKA848374,0007225-INKU6723523,Y
0007225,MEDU4785189,MEDUKA848374,0007225-MEDU4785189,Y
0007225,MEDU7674701,MEDUKA848374,0007225-MEDU7674701,Y
0007298,MEDU6555930,MEDUKA850974,0007298-MEDU6555930,Y
0007253,MSCU5248038,MEDUKA850982,0007253-MSCU5248038,Y
0007235,FSCU8336264,MEDUKA851907,0007235-FSCU8336264,Y
0007236,FSCU8336264,MEDUKA8519076,0007236-FSCU8336264,Y
0007236,MEDU7272868,MEDUKA8519076,0007236-MEDU7272868,Y
0007336,FFAU1676538,MEDUKA852228,0007336-FFAU1676538,Y
0007336,MSDU7646245,MEDUKA852228,0007336-MSDU7646245,Y
0007184,CAIU8967196,MEDUKA852244,0007184-CAIU8967196,Y
0007184,FFAU2317574,MEDUKA852244,0007184-FFAU2317574,Y
0007184,TCLU7537047,MEDUKA852244,0007184-TCLU7537047,Y
0007300,MSCU1268695,MEDUKA853481,0007300-MSCU1268695,Y
0007274,MEDU8017039,MEDUKA853606,0007274-MEDU8017039,Y
0007274,TCLU5578026,MEDUKA853606,0007274-TCLU5578026,Y
0007275,TCLU5578026,MEDUKA853606,0007275-TCLU5578026,Y
0007565,CAIU8016495,MEDUKA893792,0007565-CAIU8016495,Y
0007565,TGCU5008699,MEDUKA893792,0007565-TGCU5008699,Y
0007565,TRHU6250958,MEDUKA893792,0007565-TRHU6250958,Y
0007675,DRYU9456988,ONEYALYB04700700,0007675-DRYU9456988,#N/A
0007703,TCNU5516422,ONEYALYB04845300,0007703-TCNU5516422,#N/A
0007294,SZLU9560138,ONEYDACB13116800,0007294-SZLU9560138,#N/A
0007335,BEAU5462400,ONEYDACB13743700,0007335-BEAU5462400,#N/A
0007335,BEAU5512521,ONEYDACB13743700,0007335-BEAU5512521,#N/A
0007335,TCLU3662523,ONEYDACB13743700,0007335-TCLU3662523,#N/A
0007335,TCNU4861173,ONEYDACB13743700,0007335-TCNU4861173,#N/A
0007409,TCLU15296377,ONEYDACB14230600,0007409-TCLU15296377,#N/A
0007422,GCXU2210170,ONEYDACB14330700,0007422-GCXU2210170,#N/A
0007422,SEGU4468196,ONEYDACB14330700,0007422-SEGU4468196,#N/A
0007478,TRHU4342130,ONEYDACB14401600,0007478-TRHU4342130,#N/A
0007332,KKFU7755028,ONEYDACB14471600,0007332-KKFU7755028,#N/A
0007332,TCLU5458442,ONEYDACB14471600,0007332-TCLU5458442,#N/A
0007332,TCNU6502892,ONEYDACB14471600,0007332-TCNU6502892,#N/A
0007369,TRHU5320496,ONEYDACB14519900,0007369-TRHU5320496,#N/A
0007443,AXIU1365550,ONEYDACB14520800,0007443-AXIU1365550,#N/A
0007443,NYKU5238686,ONEYDACB14520800,0007443-NYKU5238686,#N/A
0007394,NYKU4627364,ONEYDACB14521900,0007394-NYKU4627364,#N/A
0007442,TCNU6860432,ONEYDACB14745300,0007442-TCNU6860432,#N/A
0007484,NYKU4387936,ONEYDACB14818400,0007484-NYKU4387936,#N/A
0007485,NYKU5162169,ONEYDACB14818400,0007485-NYKU5162169,#N/A
0007488,NYKU5162169,ONEYDACB14818400,0007488-NYKU5162169,#N/A
0007497,NYKU5162169,ONEYDACB14818400,0007497-NYKU5162169,#N/A
0007403,BEAU5456650,ONEYDACB14948800,0007403-BEAU5456650,#N/A
0007403,FFAU1827172,ONEYDACB14948800,0007403-FFAU1827172,#N/A
0007403,TCLU4909963,ONEYDACB14948800,0007403-TCLU4909963,#N/A
0007403,TCLU8422227,ONEYDACB14948800,0007403-TCLU8422227,#N/A
0007430,FFAU1456889,ONEYDACB14951900,0007430-FFAU1456889,#N/A
0007430,TCLU4621283,ONEYDACB14951900,0007430-TCLU4621283,#N/A
0007430,TCLU5795783,ONEYDACB14951900,0007430-TCLU5795783,#N/A
0007430,TCNU5898217,ONEYDACB14951900,0007430-TCNU5898217,#N/A
0007430,TLLU5500983,ONEYDACB14951900,0007430-TLLU5500983,#N/A
0007435,TCLU5795783,ONEYDACB14951900,0007435-TCLU5795783,#N/A
0007436,TCLU5795783,ONEYDACB14951900,0007436-TCLU5795783,#N/A
0007438,BEAU5423126,ONEYDACB15128600,0007438-BEAU5423126,#N/A
0007549,TCNU9664222,ONEYDACB15258300,0007549-TCNU9664222,#N/A
0007696,KKTU7887918,ONEYDACB15258300,0007696-KKTU7887918,#N/A
0007720,TCNU9664222,ONEYDACB15258300,0007720-TCNU9664222,#N/A
0007499,KKFU7891195,ONEYDACB15904800,0007499-KKFU7891195,#N/A
0007499,KKFU7974514,ONEYDACB15904800,0007499-KKFU7974514,#N/A
0007728,KKTU7767126,ONEYDACB16171500,0007728-KKTU7767126,#N/A
0007755,KKTU7767126,ONEYDACB16171500,0007755-KKTU7767126,#N/A
0007725,TCLU6756170,ONEYDACB1679860,0007725-TCLU6756170,#N/A
0007725,TRLU9734229,ONEYDACB1679860,0007725-TRLU9734229,#N/A
0007757,TRHU2656450,ONEYDACB17153600,0007757-TRHU2656450,#N/A
0007468,CRSU9367040,ONEYJKTB97892400,0007468-CRSU9367040,#N/A
0007468,KKFU7928885,ONEYJKTB97892400,0007468-KKFU7928885,#N/A
0007468,NYKU4369465,ONEYJKTB97892400,0007468-NYKU4369465,#N/A
0007468,TCLU9689250,ONEYJKTB97892400,0007468-TCLU9689250,#N/A
0007468,TRHU4177333,ONEYJKTB97892400,0007468-TRHU4177333,#N/A
0007474,FCIU9285028,ONEYJKTB979050600,0007474-FCIU9285028,#N/A
0007474,SEGU4990765,ONEYJKTB979050600,0007474-SEGU4990765,#N/A
0007579,FFAU1843825,ONEYJKTBA1697700,0007579-FFAU1843825,#N/A
0007579,GESU6557620,ONEYJKTBA1697700,0007579-GESU6557620,#N/A
0007579,KKFU7923775,ONEYJKTBA1697700,0007579-KKFU7923775,#N/A
0007579,NYKU4108477,ONEYJKTBA1697700,0007579-NYKU4108477,#N/A
0007579,TCLU9826500,ONEYJKTBA1697700,0007579-TCLU9826500,#N/A
0007627,NYKU4425050,ONEYJKTBA5730600,0007627-NYKU4425050,#N/A
0007653,TLLU5457470,ONEYJKTBA7916700,0007653-TLLU5457470,#N/A
0007653,TLLU5474821,ONEYJKTBA7916700,0007653-TLLU5474821,#N/A
0007653,TRHU4358054,ONEYJKTBA7916700,0007653-TRHU4358054,#N/A
0007586,CAIU9323520,ONEYPNHB19439900,0007586-CAIU9323520,#N/A
0007586,NYKU4803864,ONEYPNHB19439900,0007586-NYKU4803864,#N/A
0007586,TCNU6423598,ONEYPNHB19439900,0007586-TCNU6423598,#N/A
0007586,TCNU6648064,ONEYPNHB19439900,0007586-TCNU6648064,#N/A
0007586,TLLU5507334,ONEYPNHB19439900,0007586-TLLU5507334,#N/A
0007691,FDCU0634690,ONEYPNHB22468500,0007691-FDCU0634690,#N/A
0007691,TCNU4863643,ONEYPNHB22468500,0007691-TCNU4863643,#N/A
0007691,TCNU7773775,ONEYPNHB22468500,0007691-TCNU7773775,#N/A
0007415,FCIU9234632,ONEYSRGB30650600,0007415-FCIU9234632,#N/A
0007415,FDCU0634031,ONEYSRGB30650600,0007415-FDCU0634031,#N/A
0007415,FFAU1812974,ONEYSRGB30650600,0007415-FFAU1812974,#N/A
0007585,SLHU4500038,OOLU2669839560,0007585-SLHU4500038,#N/A
0007588,SLHU4500038,OOLU2669839560,0007588-SLHU4500038,#N/A
0007518,NLLU4114635,OOLU2670294590,0007518-NLLU4114635,#N/A
0007650,TCNU1687160,OOLU2673973500,0007650-TCNU1687160,Y
0007724,TCNU1687160,OOLU2673973500,0007724-TCNU1687160,Y
0007698,TEMU0736867,YMLUN562227100,0007698-TEMU0736867,#N/A
0007750,TEMU0736867,YMLUN562227100,0007750-TEMU0736867,#N/A
0007715,CAIU7700707,YMLUW236597246,0007715-CAIU7700707,#N/A
0007715,MAGU5548250,YMLUW236597246,0007715-MAGU5548250,#N/A
0007575,FFAU1296918,YMLUW42591043800,0007575-FFAU1296918,#N/A
0007575,SEGU6873876,YMLUW42591043800,0007575-SEGU6873876,#N/A
0007575,TEMU8595180,YMLUW42591043800,0007575-TEMU8595180,#N/A
0007626,BMOU5565589,YMLUW425910533,0007626-BMOU5565589,#N/A
0007626,MAGU5673462,YMLUW425910533,0007626-MAGU5673462,#N/A
0007731,BEAU4527297,YMLUW490402570,0007731-BEAU4527297,#N/A
0007731,FFAU1009427,YMLUW490402570,0007731-FFAU1009427,#N/A
0007356,TCNU4564914,ZIMUHAI80031213,0007356-TCNU4564914,Y
0007360,TCNU4564914,ZIMUHAI80031213,0007360-TCNU4564914,Y
0007498,TLLU4443549,ZIMUHAI80034305,0007498-TLLU4443549,Y
0007553,SEGU5332711,ZIMUHAI80035104,0007553-SEGU5332711,Y
0007553,TCNU4554285,ZIMUHAI80035104,0007553-TCNU4554285,Y
0007611,TGBU7240673,ZIMUNGB9704776,0007611-TGBU7240673,Y
0007611,TGHU9708791,ZIMUNGB9704776,0007611-TGHU9708791,Y
0007611,ZCSU7106355,ZIMUNGB9704776,0007611-ZCSU7106355,Y
0007611,ZCSU7381803,ZIMUNGB9704776,0007611-ZCSU7381803,Y